CID,SMILES,solubility_mean,solubility
2094705,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC=C(C=C3)Cl,1.8,low
973002,CC1=C(C=CC(=C1)O)NC2=NC(=CS2)C3=CN=CC=C3,1.8,low
6213044,C1=CC=C2C=C(C=CC2=C1)C(=O)/C=C/C3=CC(=C(C=C3)O)[N+](=O)[O-],1.8,low
2816502,C1=CC=C(C=C1)C2=NC3=C(C(=C2)C4=CC=CO4)C(=C(O3)C(=O)NN)N,1.8,low
5022150,COC1=CC=C(C=C1)NC(=O)NC2=C(SN=C2SC)SC,1.8,low
2849603,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NC2=CC=CC=C2O,1.9,low
5334811,CC(C)(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC=CC=N2,1.9,low
2669855,C1CC1C2=NN=C(S2)NC(=O)C3=CC4=CC=CC=C4O3,10.1,moderate
3811303,CC1=CC(=NN1)C2=NN=C3N2N=C(CS3)C4=CC=C(C=C4)F,10.2,moderate
24818765,C1CCC(CC1)NC(=O)NNC(=O)C2=C(C3=CC=CC=C3C=C2)O,10.3,moderate
16745961,CS/C(=C\C(=O)C1=CC=CO1)/NC2=CC=CC=C2Cl,10.4,moderate
1395543,CC1(CC2=C(CO1)C(=NC3=C2C4=C(S3)C(=O)NC(=S)N4)C5=CC=CC=C5)C,10.5,moderate
6179462,C1=CC=C2C(=C1)C=CC(=N2)/C=C/C3=CC=CO3,10.7,moderate
138101,CC1=NN=C(O1)C2=CC=CC=C2,10.8,moderate
24746866,COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=C2N)OC.Cl,10.9,moderate
3133077,C1C(OC(=O)N1)COC2=CC=C(C=C2)C3=CC=C(C=C3)C#N,11.3,moderate
2805584,CC1SCC(=NOCC2=CC=CC=C2)CS1,11.5,moderate
9609700,CCOC(=O)N/N=C(\C)/C1=CC=CS1,11.5,moderate
24980777,CC1=CN=C(C=C1)NC(=O)CNC(=O)C2=CC(=CC=C2)Cl,11.7,moderate
725622,CC1=CC=C(C=C1)NC(=O)CCOC2=CC=CC=C2,11.7,moderate
729856,CC(C)C1=NN=C(S1)NC(=O)COC2=CC=CC=C2[N+](=O)[O-],11.9,moderate
1968103,CCOC(=O)C(=O)N(C1=CC=C(C=C1)C)NC2=CC=C(C=C2)C,11.9,moderate
4282910,CC1CCCCC1NC(=O)COC(=O)C2=C(C=CS2)C,12,moderate
2094784,CN(C)C1=CC=CC(=C1)C(=O)NC2=NC3=CC=CC=C3N2,12.1,moderate
1506499,COC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=CC=C3,12.1,moderate
2324399,CC1=CSC(=N1)N2CCOCC2,12.1,moderate
1404043,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)N,12.2,moderate
3990423,CCCN1C2=NC3=C(C=CC=C3C=C2C(=N1)NC(=O)C4CCCO4)C,12.9,moderate
2382570,CCN(C1=CC=CC2=CC=CC=C21)C(=S)NCCOC,12.9,moderate
3905680,C1CCN(CC1)C(CC2=CC=CC=C2)C(=O)C3=CC=C(C=C3)F,13.1,moderate
2569417,CC1=CC(=C(O1)C)C(=O)OCC(=O)C2=C(C(=C(N2)C)C(=O)C)C,13.1,moderate
901057,C1=CC(=NC(=C1)Cl)NNS(=O)(=O)C2=CC=C(C=C2)Cl,13.3,moderate
596095,CCOC(=O)C1=C(NN=C1)C(F)(F)F,13.4,moderate
2393325,CCC1=CC=C(C=C1)NC(=S)NC2=CC3=C(C=C2)NC(=O)N3,13.5,moderate
7521164,CCOC(=O)C1=C(C(=C(S1)NC(=O)C2=COCCO2)C#N)C,13.5,moderate
16549209,CC1=CC=C(S1)C(=O)NC2=C(C=CC(=C2)Cl)N3C=NC=N3,13.6,moderate
24685979,CC(C(=O)NC1=C(C(=C(C=C1)F)F)F)N(C)CC2=CC=CS2,13.6,moderate
958579,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=C(C=C(C=C3)F)F,14,moderate
774,C1=C(NC=N1)CCN,14.1,moderate
2971089,C1CC2=C(C1)C=C(C=C2)OCC(=O)NC3=CC=CC=N3,14.2,moderate
16316508,CC(C(=O)NC1CCCC2=CC=CC=C12)NC(=O)C3=CC=CC=C3,14.7,moderate
6150985,C/C(=N/NC(=O)C(C1=CC=NC=C1)N2CCOCC2)/C3=CC=C(C=C3)OC,14.8,moderate
2572085,CC1=CC=C(C=C1)OCCC(=O)NC2=CC3=C(C=C2)OCO3,14.8,moderate
9660679,C1=CC=C(C(=C1)/C=C/C(=O)O/N=C(/C2=CN=CC=C2)\N)Cl,14.9,moderate
2244707,C1=CC=C(C=C1)C(=O)/C=C/NNC(=O)C2=CC=C(C=C2)Cl,15,moderate
9744310,CCOC(=O)/C(=N\NC1=NC=NC2=CC=CC=C21)/C3=CC=C(C=C3)OC,15,moderate
6401200,CC1=CC(=NN1C2=NC3=C(C4=CC=CC=C4N3C)N=N2)C,15.1,moderate
2147143,CC1=CC=C(C=C1)C2=NNC(=N2)CC3=CC=CC=C3,15.3,moderate
937801,C1CCC(CC1)C2=NN=C(N2N)SCC3=CC=CC=C3,15.5,moderate
15997757,CC1=C(C=CC=C1[N+](=O)[O-])NC(=O)C(=O)CC(=O)C2=CC=CC=C2OC,15.5,moderate
9560222,C1=CC(=C(C(=C1)Cl)Cl)/C=N/N=C(N)N,16.2,moderate
7254487,C1=CC=C(C=C1)CNC(=O)CS(=O)(=O)C2=CC=C(C=C2)F,16.2,moderate
135470765,C1=CC(=C(C=C1/C=N/N=C(/C2=NON=C2N)\N)O)O,16.6,moderate
3687816,CC(C)OC1=CC=C(C=C1)C(CC(=O)O)N2C=NN=N2,16.7,moderate
135401907,C1=NNC2=C1C(=O)NC=N2,17.1,moderate
824048,CC(C)(C)C(=O)NC1=CC=C(C=C1)N2CCN(CC2)S(=O)(=O)C,17.6,moderate
730356,COC1=CC=CC=C1OC(=O)NC2=CC=C(C=C2)Cl,17.8,moderate
690053,COC1=C(C=C(C=C1)N=CC2=C(C=CC(=C2)Cl)O)Cl,18,moderate
24979506,C1CC(CCC1NC(=O)C2=CC=C(O2)C3=CC=C(C=C3)Cl)O,18.7,moderate
3366,C1=NC(=O)NC(=C1F)N,19.4,moderate
9360455,CC1=C(OC2=C1C=C(C=C2)Br)C(=O)N3CCC3,19.5,moderate
2130260,CC(=C)C1=CC(=CC=C1)C(C)(C)NC(=O)NNC(=O)C2=CC=CC=C2O,19.5,moderate
731455,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)NC=N3,19.5,moderate
20408945,C1=CC=C2C(=C1)C=CC=C2NC(=S)NC3=CC(=CC=C3)F,19.6,moderate
3153956,CS(=O)(=O)N1C(=NC(=N1)C2=CC=CO2)N,19.9,moderate
17102563,C1=CC=C(C(=C1)OCC(=O)NC2=CC3=C(C=C2)NC(=O)N3)Cl,2,low
24685954,COC1=CC=CC=C1C(=O)COC(=O)CN2C(=O)C3=CC=CC=C3C(=O)N2,2,low
952238,COC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC=C(O3)[N+](=O)[O-],2,low
15502790,CCOC1=CC=C(C=C1)NC(=S)NC2=CC=CC3=CC=CC=C32,2,low
5433119,CC1=NN(C(=C1[N+](=O)[O-])C(=O)N/N=C(\C)/C2=CC=C(C=C2)NC(=O)C3CCCC3)C,2.1,low
3724103,CCC1=NN=C(S1)NC(=O)C23CC4CC(C2)CC(C4)C3,2.1,low
2744594,CC1=CC(=NO1)C2=NN=C(O2)C3=CC(=CC=C3)Cl,2.1,low
2291569,COC1=CC(=C(C=C1)OC)N/C=C/C(=O)C2=CC=CC=C2,2.1,low
831341,CC(=O)NC1=CC=C(C=C1)C2=NC3=C(O2)C=C(C=C3)NC(=O)C,2.2,low
9566818,C1=CC=C2C(=C1)N=C(S2)N/N=C/C3=CC=CC=N3,2.2,low
9684496,COC1=CC=CC(=C1)/C=N/NC(=O)C2=CC=C(C=C2)N3C=NN=N3,2.3,low
135472737,CCOC1=CC=CC=C1C(=O)N/N=C/C2=CNC3=CC=CC=C32,2.3,low
3582105,CC1=CC(=CC=C1)C2=NC(=C(O2)NCC3CCCO3)C#N,2.3,low
9563343,COC1=CC=C(C=C1)C(=O)N/N=C/C(=O)C2=CC=CC=C2,2.3,low
806173,C1=CC=C(C=C1)CC2=NC(=S)C3=CC=CC=C3N2,2.4,low
17217870,CC1=NC(=CC=C1)NC(=O)COC2=CC3=C(CCC3)C=C2,2.4,low
4283873,COC1=C(C=C(C=C1)C(=O)NC2CCCC3=CC=CC=C23)[N+](=O)[O-],2.4,low
135460562,C1=CC=C2C(=C1)C(=NCCOC(=O)C3=CC=CS3)NS2(=O)=O,2.5,low
